"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:53:28.3230318 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 36, Length: 50"
"6:53:28.3231040 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 86, Length: 4,096"
"6:53:28.3232045 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4,182, Length: 4,096"
"6:53:28.3232903 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8,278, Length: 4,096"
"6:53:28.3233799 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 12,374, Length: 4,096"
"6:53:28.3235404 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16,470, Length: 4,096"
"6:53:28.3236805 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20,566, Length: 4,096"
"6:53:28.3239142 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24,662, Length: 4,096"
"6:53:28.3240592 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28,758, Length: 4,096"
"6:53:28.3242295 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 32,854, Length: 4,096"
"6:53:28.3243531 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 36,950, Length: 4,096"
"6:53:28.3244934 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 41,046, Length: 4,096"
"6:53:28.3247187 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 45,142, Length: 4,096"
"6:53:28.3251913 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 49,238, Length: 4,096"
"6:53:28.3252704 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 53,334, Length: 4,096"
"6:53:28.3253814 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 57,430, Length: 4,096"
"6:53:28.3254844 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 61,526, Length: 4,096"
"6:53:28.3256388 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 65,622, Length: 4,096"
"6:53:28.3257668 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 69,718, Length: 4,096"
"6:53:28.3258845 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 73,814, Length: 4,096"
"6:53:28.3259883 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 77,910, Length: 4,096"
"6:53:28.3261280 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 82,006, Length: 4,096"
"6:53:28.3263232 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 86,102, Length: 4,096"
"6:53:28.3265158 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 90,198, Length: 4,096"
"6:53:28.3268622 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 94,294, Length: 554"
