label,tail,tail_bbox_min_x,tail_bbox_min_y,tail_bbox_max_x,tail_bbox_max_y,ref_bbox_min_x,ref_bbox_min_y,ref_bbox_max_x,ref_bbox_max_y,scale_x,scale_y,translate_x,translate_y,header_raw_0,header_f0,header_raw_1,header_f1,header_raw_2,header_f2,header_raw_3,header_f3,header_raw_4,header_f4,header_raw_5,header_f5,header_raw_6,header_f6,header_raw_7,header_f7,header_raw_8,header_f8,header_raw_9,header_f9,header_raw_10,header_f10,header_raw_11,header_f11,header_raw_12,header_f12,header_raw_13,header_f13,header_raw_14,header_f14,header_raw_15,header_f15,header_raw_16,header_f16,header_raw_17,header_f17,header_raw_18,header_f18,header_raw_19,header_f19,header_raw_20,header_f20,header_raw_21,header_f21,header_raw_22,header_f22,header_raw_23,header_f23,header_raw_24,header_f24,header_raw_25,header_f25,header_raw_26,header_f26,header_raw_27,header_f27
VML,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2240500450134277,0.0,0.2240500450134277,1.0,0.5888304834852089,0.9832277350456603,1.2283961130510335e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,24576,0.75,25965,0.792388916015625,62,0.00189208984375,0,0.0,24576,0.75,25965,0.792388916015625,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,332,0.0101318359375,26496,0.80859375,-15658,-0.47784423828125,190,0.00579833984375,0,0.0,26112,0.796875,-15658,-0.47784423828125,-32706,-0.99810791015625,-32277,-0.985015869140625,5439,0.165985107421875,768,0.0234375
VMM,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3805021643638611,0.0,0.3804979920387268,1.014999395816155,1.0,0.9979755570210317,0.0,0.017023838795123286,0,0.0,512,0.015625,0,0.0,20992,0.640625,-30737,-0.938018798828125,62,0.00189208984375,0,0.0,-24064,-0.734375,-15664,-0.47802734375,62,0.00189208984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,333,0.010162353515625,-10112,-0.30859375,-29361,-0.896026611328125,190,0.00579833984375,0,0.0,-10240,-0.3125,-29361,-0.896026611328125,-32706,-0.99810791015625,-32277,-0.985015869140625,4159,0.126922607421875,768,0.0234375
VMN,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2759997844696045,0.0,0.2759997844696045,1.0149993937343138,0.7253606511050276,0.9979755549741077,1.5132202380030435e-06,0.017023838760206092,0,0.0,512,0.015625,0,0.0,12288,0.375,9437,0.287994384765625,62,0.00189208984375,0,0.0,-10240,-0.3125,-29361,-0.896026611328125,62,0.00189208984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,334,0.01019287109375,-3968,-0.12109375,-29834,-0.91046142578125,190,0.00579833984375,0,0.0,-4352,-0.1328125,-29834,-0.91046142578125,4670,0.14251708984375,-32766,-0.99993896484375,4159,0.126922607421875,768,0.0234375
VMP,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2723917961120605,0.0,0.2723916944186487,1.0,0.715878289836389,0.9832277350456603,1.4425917849725245e-06,0.01677226495433972,5811,0.177337646484375,189,0.005767822265625,-1940,-0.0592041015625,-194,-0.00592041015625,-14790,-0.45135498046875,16573,0.505767822265625,-3146,-0.09600830078125,24382,0.74407958984375,8491,0.259124755859375,24766,0.75579833984375,-3618,-0.11041259765625,62,0.00189208984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,336,0.01025390625,-21376,-0.65234375,-24733,-0.754791259765625,3262,0.09954833984375,29984,0.9150390625,-19268,-0.5880126953125,-24612,-0.7510986328125,-12226,-0.37310791015625,-32276,-0.9849853515625,10303,0.314422607421875,1280,0.0390625
VMQ,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3113055229187012,-0.01496124267578125,0.31221006968628495,1.0150394439697266,0.8193370098009954,1.0127252422259374,0.00045398265399160254,0.002314201743789046,-24442,-0.74591064453125,-32708,-0.9981689453125,-5852,-0.1785888671875,61,0.001861572265625,10638,0.32464599609375,-16323,-0.498138427734375,298,0.00909423828125,62,0.00189208984375,31400,0.958251953125,-16323,-0.498138427734375,4466,0.13629150390625,62,0.00189208984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,337,0.010284423828125,128,0.00390625,-29714,-0.90679931640625,190,0.00579833984375,0,0.0,0,0.0,-29714,-0.90679931640625,4926,0.15032958984375,-32766,-0.99993896484375,5951,0.181610107421875,768,0.0234375
VMR,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2733001708984375,-1.1102230246251565e-16,0.2733001708984375,1.0,0.7182657417322657,0.9832277350456603,1.498419103629356e-06,0.01677226495433961,0,0.0,512,0.015625,0,0.0,-16384,-0.5,7785,0.237579345703125,62,0.00189208984375,0,0.0,0,0.0,-29714,-0.90679931640625,62,0.00189208984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,338,0.01031494140625,24704,0.75390625,-31864,-0.972412109375,-32578,-0.99420166015625,-24733,-0.754791259765625,-27474,-0.83843994140625,-29211,-0.891448974609375,-18370,-0.56060791015625,-31494,-0.96112060546875,4671,0.142547607421875,768,0.0234375
VMS,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2568998336791993,0.0005216381832314765,0.2770004272460938,1.0389013290405273,0.7015770712179021,1.0209637115590318,0.01005176038727118,0.01793761748149541,-7288,-0.222412109375,189,0.005767822265625,-16880,-0.51513671875,60,0.0018310546875,19320,0.589599609375,-32578,-0.99420166015625,-21548,-0.6575927734375,24637,0.751861572265625,-31864,-0.972412109375,-32578,-0.99420166015625,12635,0.385589599609375,62,0.00189208984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,339,0.010345458984375,28800,0.87890625,-30016,-0.916015625,190,0.00579833984375,0,0.0,28672,0.875,-30016,-0.916015625,62,0.00189208984375,-32768,-1.0,2111,0.064422607421875,768,0.0234375
VMT,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2709994316101074,0.0,0.2709994316101074,1.0,0.7122191219806846,0.9832277350456603,1.48580487185912e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,-32768,-1.0,28049,0.855987548828125,61,0.001861572265625,0,0.0,-32768,-1.0,27000,0.823974609375,189,0.005767822265625,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,340,0.0103759765625,128,0.00390625,-29364,-0.8961181640625,1214,0.03704833984375,30404,0.9278564453125,-16196,-0.4942626953125,-29357,-0.895904541015625,20542,0.62689208984375,-32767,-0.999969482421875,4159,0.126922607421875,768,0.0234375
VMU,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.275970458984375,-0.015061382591304628,0.2760295867919922,1.000040054321289,0.7253612776977479,0.9980758866571647,3.107712535377338e-05,0.001964167664124359,0,0.0,512,0.015625,0,0.0,-16384,-0.5,-29357,-0.895904541015625,62,0.00189208984375,10240,0.3125,56,0.001708984375,20560,0.62744140625,62,0.00189208984375,10240,0.3125,56,0.001708984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,341,0.010406494140625,7808,0.23828125,-27903,-0.851531982421875,190,0.00579833984375,29880,0.911865234375,-24388,-0.7442626953125,-27988,-0.8541259765625,8254,0.25189208984375,-32766,-0.99993896484375,4159,0.126922607421875,1280,0.0390625
VMV,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2871166827070004,-0.0149364471435547,0.2864732742309572,1.0000648498535167,0.753731720173937,0.9979774263148381,-0.0003201318311212842,0.002087423538678643,0,0.0,512,0.015625,0,0.0,-32768,-1.0,12182,0.37176513671875,8254,0.25189208984375,-32766,-0.99993896484375,-24513,-0.748077392578125,-27988,-0.8541259765625,8254,0.25189208984375,-32766,-0.99993896484375,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,342,0.01043701171875,12672,0.38671875,-15660,-0.4779052734375,1982,0.06048583984375,30108,0.9188232421875,31164,0.9510498046875,-15654,-0.47772216796875,20542,0.62689208984375,-32768,-1.0,5439,0.165985107421875,768,0.0234375
VMW,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3804759979248047,-0.014990812777289086,0.3805239200592041,1.000009536743164,0.9999996867036398,0.9979764947295486,2.604722911325741e-05,0.002033042013615375,0,0.0,512,0.015625,0,0.0,-16384,-0.5,-30734,-0.93792724609375,20542,0.62689208984375,-32768,-1.0,2111,0.064422607421875,-15660,-0.4779052734375,20542,0.62689208984375,-32768,-1.0,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,343,0.010467529296875,-24448,-0.74609375,-22545,-0.688018798828125,190,0.00579833984375,0,0.0,-24576,-0.75,-22545,-0.688018798828125,62,0.00189208984375,-32768,-1.0,3135,0.095672607421875,1280,0.0390625
VMX,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3280000686645508,-6.700369425960417e-16,0.3280000686645508,1.0000000000000004,0.8620236563815649,0.9832277350456614,1.7983214839478734e-06,0.016772264954339068,0,0.0,512,0.015625,0,0.0,-24576,-0.75,23068,0.7039794921875,62,0.00189208984375,0,0.0,-24576,-0.75,-22545,-0.688018798828125,62,0.00189208984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,344,0.010498046875,13184,0.40234375,-20848,-0.63623046875,21438,0.65423583984375,30303,0.924774169921875,16828,0.5135498046875,-20743,-0.633026123046875,18494,0.56439208984375,-32768,-1.0,7487,0.228485107421875,768,0.0234375
VMY,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3408609011787236,-0.014899896987117633,0.34173303802918875,1.000008583068848,0.8969695123778704,0.9978861661240609,0.0004379396494531562,0.002122416944787233,0,0.0,512,0.015625,0,0.0,24576,0.75,26211,0.799896240234375,18494,0.56439208984375,-32768,-1.0,63,0.001922607421875,-20960,-0.6396484375,18494,0.56439208984375,-32768,-1.0,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,345,0.010528564453125,10368,0.31640625,-31464,-0.960205078125,190,0.00579833984375,0,0.0,10240,0.3125,-31464,-0.960205078125,62,0.00189208984375,-32768,-1.0,5183,0.158172607421875,768,0.0234375
VMZ,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2599499225616455,0.0,0.2599499225616455,1.0,0.6831796823550863,0.9832277350456603,1.4252238799694616e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,10240,0.3125,-31464,-0.960205078125,62,0.00189208984375,0,0.0,10240,0.3125,-31464,-0.960205078125,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,346,0.01055908203125,20352,0.62109375,-18784,-0.5732421875,-12098,-0.36920166015625,30151,0.920135498046875,32700,0.9979248046875,-19357,-0.590728759765625,830,0.02532958984375,-32276,-0.9849853515625,10303,0.314422607421875,1280,0.0390625
VM0,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.35668659210205084,-0.014990806579589844,0.3523139953613281,1.0150094032287598,0.9316694372508119,1.0127247733864184,-0.0021843547564564525,0.0022846298423412972,-11646,-0.35540771484375,-24387,-0.744232177734375,893,0.027252197265625,62,0.00189208984375,24366,0.74359130859375,189,0.005767822265625,-9485,-0.289459228515625,61,0.001861572265625,3920,0.11962890625,16571,0.505706787109375,-13103,-0.399871826171875,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,304,0.00927734375,128,0.00390625,27525,0.839996337890625,189,0.005767822265625,0,0.0,0,0.0,27525,0.839996337890625,-1987,-0.060638427734375,32767,0.999969482421875,1087,0.033172607421875,768,0.0234375
VM1,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.057499885559082,0.0,0.057499885559082,0.9999995231628418,0.1511166195573372,0.9832272662061412,3.152538349884826e-07,0.016772256956700562,0,0.0,512,0.015625,0,0.0,0,0.0,27525,0.839996337890625,61,0.001861572265625,0,0.0,0,0.0,27525,0.839996337890625,189,0.005767822265625,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,305,0.009307861328125,19328,0.58984375,-30560,-0.9326171875,190,0.00579833984375,0,0.0,19200,0.5859375,-30560,-0.9326171875,-29634,-0.90435791015625,-32277,-0.985015869140625,5951,0.181610107421875,768,0.0234375
VM2,"(30795, -32705, -23451, -25539)",-0.2657279968261719,-0.014389991760253906,0.26557159423828125,0.9699091911315918,-0.2668479382991791,0.0,0.2666155870978163,1.0148679027166074,1.0040729079580257,1.0310563295754769,-3.765580006365177e-05,0.014836892086948748,3341,0.101959228515625,-24386,-0.74420166015625,19398,0.59197998046875,-31170,-0.95123291015625,5989,0.182769775390625,-16194,-0.49420166015625,8519,0.259979248046875,9790,0.29876708984375,7064,0.215576171875,16574,0.50579833984375,-5243,-0.160003662109375,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,306,0.00933837890625,-32640,-0.99609375,-30707,-0.937103271484375,-23618,-0.72076416015625,30039,0.916717529296875,29116,0.8885498046875,-30698,-0.93682861328125,8510,0.25970458984375,-32278,-0.98504638671875,10303,0.314422607421875,768,0.0234375
VM3,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2657279968261721,-0.0148257491752955,0.2656832479150401,1.014878073188116,0.6983063541712107,1.012433357030236,-2.091767498951791e-05,0.002444716157879997,0,0.0,512,0.015625,0,0.0,-8192,-0.25,8762,0.26739501953125,14526,0.44329833984375,29721,0.907012939453125,16447,0.501922607421875,26405,0.805816650390625,-10050,-0.30670166015625,26011,0.793792724609375,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,307,0.009368896484375,7808,0.23828125,-21889,-0.667999267578125,190,0.00579833984375,0,0.0,7680,0.234375,-21889,-0.667999267578125,-1986,-0.06060791015625,32767,0.999969482421875,7231,0.220672607421875,768,0.0234375
VM4,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3329992890357971,0.0,0.3330010771751404,0.9999995231628419,0.8751645589131875,0.9832272662061413,2.719805214546067e-06,0.016772256956700562,0,0.0,512,0.015625,0,0.0,-17408,-0.53125,26476,0.8079833984375,-1986,-0.06060791015625,32767,0.999969482421875,14655,0.447235107421875,-7340,-0.2239990234375,-1987,-0.060638427734375,32767,0.999969482421875,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,308,0.0093994140625,20608,0.62890625,-27429,-0.837066650390625,12990,0.39642333984375,30324,0.9254150390625,-12868,-0.3927001953125,-27421,-0.836822509765625,11326,0.34564208984375,-32768,-1.0,6463,0.197235107421875,768,0.0234375
VM5,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2907357215881348,-0.014987538593860261,0.29046440124511724,1.00000524520874,0.7637319361151127,0.9979690559059202,-0.0001340669025323704,0.0020361893028198047,11858,0.36187744140625,190,0.00579833984375,9072,0.27685546875,8379,0.255706787109375,28347,0.865081787109375,190,0.00579833984375,-21694,-0.66204833984375,20540,0.6268310546875,-27429,-0.837066650390625,-32578,-0.99420166015625,25329,0.772979736328125,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,309,0.009429931640625,384,0.01171875,-17185,-0.524444580078125,-21570,-0.65826416015625,31599,0.964324951171875,-5448,-0.166259765625,-22962,-0.70074462890625,3134,0.09564208984375,-31785,-0.970001220703125,12351,0.376922607421875,1280,0.0390625
VM6,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3686877429799892,-5.551115123125783e-17,0.3247995376586914,1.0298281233249609,0.9112840185433664,1.0125555731831242,-0.021942201574041365,0.017272550141836627,0,0.0,512,0.015625,0,0.0,0,0.0,-25952,-0.7919921875,22717,0.693267822265625,8054,0.24578857421875,16447,0.501922607421875,-13212,-0.4031982421875,4285,0.130767822265625,-1088,-0.033203125,62,0.00189208984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,310,0.00946044921875,27264,0.83203125,28598,0.87274169921875,190,0.00579833984375,0,0.0,27392,0.8359375,28598,0.87274169921875,-1986,-0.06060791015625,32767,0.999969482421875,5951,0.181610107421875,1280,0.0390625
VM7,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2340942919254303,-5.811323644522304e-16,0.23409392059497303,0.9999995231628418,0.6152274852788863,0.9832272662061418,1.0977993214200676e-06,0.01677225695669999,0,0.0,512,0.015625,0,0.0,-22272,-0.6796875,20912,0.63818359375,189,0.005767822265625,0,0.0,-5632,-0.171875,10798,0.32952880859375,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,311,0.009490966796875,10112,0.30859375,-22344,-0.681884765625,190,0.00579833984375,30106,0.91876220703125,-23364,-0.7130126953125,-22340,-0.6817626953125,-10178,-0.31060791015625,-32277,-0.985015869140625,8255,0.251922607421875,1280,0.0390625
VM8,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.32918262481689453,-0.014990329742431696,0.32921695709228516,1.015009880065918,0.8651766709504722,1.0127247733864184,1.8971036880199854e-05,0.002285106679499445,16807,0.512908935546875,24638,0.75189208984375,-12569,-0.383575439453125,-16322,-0.49810791015625,9467,0.288909912109375,-4034,-0.12310791015625,-7497,-0.228790283203125,62,0.00189208984375,-30720,-0.9375,24631,0.751678466796875,767,0.023406982421875,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,312,0.009521484375,-15744,-0.48046875,-20078,-0.61273193359375,1726,0.05267333984375,30294,0.92449951171875,-22596,-0.6895751953125,-20079,-0.612762451171875,-17602,-0.53717041015625,-32277,-0.985015869140625,12351,0.376922607421875,768,0.0234375
