label,record_count_header,record_count_body,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26
M92A,10,10,-0.58984375,-0.549530029296875,0.9921875,0.496063232421875,0.447662353515625,0.50933837890625,-0.999969482421875,0.9921875,-0.509765625,0.0,-0.549530029296875,0.20703125,0.490234375,-0.4140625,0.496063232421875
M92B,7,7,-0.96337890625,-0.55218505859375,0.814453125,0.496063232421875,0.447662353515625,0.51715087890625,-0.999969482421875,0.34033203125,-0.509765625,0.0,-0.55218505859375,0.33984375,0.490234375,-0.4765625,0.496063232421875
M92C,6,6,-0.7265625,-0.5543212890625,0.658203125,0.49609375,0.447662353515625,0.52496337890625,-0.999969482421875,0.1357421875,-0.509765625,0.0,-0.5543212890625,0.1357421875,0.490234375,0.142578125,0.49609375
M92D,4,4,-0.93798828125,-0.5543212890625,0.142578125,0.49609375,0.447662353515625,0.53277587890625,-0.999969482421875,-0.03955078125,-0.509796142578125,0.0,-0.5543212890625,-0.93798828125,0.490264892578125,0.142578125,0.49609375
M92E,4,4,-0.99609375,-0.50982666015625,0.873046875,0.496063232421875,0.447662353515625,0.54058837890625,-0.999969482421875,-0.669921875,-0.50982666015625,0.0,0.0,-0.669921875,0.49017333984375,-0.2490234375,0.496063232421875
M92F,10,10,-0.9658203125,-0.5133056640625,0.978515625,0.496063232421875,0.447662353515625,0.54840087890625,-0.999969482421875,0.599609375,-0.509765625,0.0,0.0,0.599609375,0.490234375,-0.578125,0.496063232421875
M92G,3,3,-1.0,-0.544586181640625,0.7939453125,0.49609375,0.447662353515625,0.55621337890625,-0.999969482421875,-0.0068359375,-0.509796142578125,-1.0,-0.544586181640625,-0.0068359375,0.490203857421875,0.37548828125,0.49609375
M92H,3,3,-0.578125,-0.515655517578125,0.49609375,0.496063232421875,0.447662353515625,0.56402587890625,-0.999969482421875,0.474609375,-0.515533447265625,0.0,0.0,0.12109375,0.484527587890625,-0.578125,0.496063232421875
M92I,4,4,-0.7265625,-0.5133056640625,0.978515625,0.496063232421875,0.447662353515625,0.57183837890625,-0.999969482421875,0.599609375,-0.509765625,0.0,0.0,0.6005859375,0.490234375,-0.578125,0.496063232421875
M92J,3,3,-0.92578125,-0.5390625,0.6083984375,0.49609375,0.447662353515625,0.57965087890625,-0.999969482421875,-0.4580078125,-0.509765625,0.0,-0.5390625,-0.51953125,0.490234375,-0.92578125,0.49609375
M92K,2,2,-0.578125,-0.509796142578125,0.0,0.496063232421875,0.447662353515625,0.58746337890625,-0.999969482421875,-0.3115234375,-0.509796142578125,0.0,0.0,-0.3115234375,0.490203857421875,-0.578125,0.496063232421875
M92L,4,4,-0.8916015625,-0.545867919921875,0.642578125,0.49609375,0.447662353515625,0.59527587890625,-0.999969482421875,-0.771484375,-0.509765625,0.0,0.0,-0.771484375,0.490234375,-0.8916015625,0.49609375
M92M,3,3,-0.578125,-0.509765625,0.599609375,0.496063232421875,0.447662353515625,0.60308837890625,-0.999969482421875,0.599609375,-0.509765625,0.0,0.0,0.599609375,0.490234375,-0.578125,0.496063232421875
M92N,8,8,-0.9658203125,-0.512481689453125,0.98046875,0.49609375,0.447662353515625,0.61090087890625,-0.999969482421875,0.6015625,-0.509765625,0.0,0.0,0.599609375,0.490234375,0.1767578125,0.49609375
M92O,6,6,-0.962890625,-0.509765625,0.8095703125,0.496063232421875,0.447662353515625,0.61871337890625,-0.999969482421875,-0.962890625,-0.509765625,0.0,0.0,0.162109375,0.490234375,-0.2490234375,0.496063232421875
M92P,9,9,-1.0,-0.53961181640625,0.9765625,0.49609375,0.447662353515625,0.62652587890625,-0.999969482421875,0.77734375,-0.509796142578125,-1.0,-0.53961181640625,0.24609375,0.49029541015625,0.1767578125,0.49609375
M92Q,7,7,-0.998046875,-0.542724609375,0.8505859375,0.49609375,0.447662353515625,0.63433837890625,-0.999969482421875,-0.99609375,-0.509765625,-0.5,-0.542724609375,-0.998046875,0.490234375,0.37548828125,0.49609375
M92R,11,11,-0.9384765625,-0.51251220703125,0.490234375,0.496063232421875,0.447662353515625,0.64215087890625,-0.999969482421875,-0.310546875,-0.509796142578125,0.0,0.0,-0.3125,0.490203857421875,-0.578125,0.496063232421875
M92S,2,2,0.0,-0.509857177734375,0.642578125,0.49609375,0.447662353515625,0.64996337890625,-0.999969482421875,0.220703125,-0.509857177734375,0.0,0.0,0.220703125,0.490142822265625,0.642578125,0.49609375
M92T,5,5,-1.0,-0.53961181640625,0.12109375,0.496124267578125,0.447662353515625,0.65777587890625,-0.999969482421875,-0.310546875,-0.509796142578125,-1.0,-0.53961181640625,-0.3125,0.490203857421875,0.03955078125,0.496124267578125
M92U,2,2,-0.42578125,-0.509765625,0.77734375,0.49609375,0.447662353515625,0.66558837890625,-0.999969482421875,0.599609375,-0.509765625,0.0,0.0,0.77734375,0.490203857421875,-0.42578125,0.49609375
M92V,4,4,-1.0,-0.543670654296875,0.927734375,0.49609375,0.447662353515625,0.67340087890625,-0.999969482421875,-0.310546875,-0.509796142578125,-0.25,-0.53753662109375,-0.3125,0.490203857421875,-0.65869140625,0.49609375
M92W,2,2,-0.955078125,-0.5543212890625,0.33203125,0.49609375,0.447662353515625,0.68121337890625,-0.999969482421875,0.33203125,-0.509765625,0.0,-0.5543212890625,0.33203125,0.490234375,0.142578125,0.49609375
