label,record_count_header,record_count_body,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26
VM4,768,1,-0.99420166015625,-0.837066650390625,0.625,0.790679931640625,0.60418701171875,0.0093994140625,0.62890625,-0.837066650390625,0.39642333984375,0.9254150390625,-0.3927001953125,-0.836822509765625,0.34564208984375,-1.0,0.197235107421875
VM5,1280,1,-0.99810791015625,-0.4031982421875,0.5,0.3280029296875,0.60418701171875,0.009429931640625,0.01171875,-0.524444580078125,-0.65826416015625,0.964324951171875,-0.166259765625,-0.70074462890625,0.09564208984375,-0.970001220703125,0.376922607421875
VM6,1280,1,-0.171875,-0.89599609375,0.328125,0.32952880859375,0.60418701171875,0.00946044921875,0.83203125,0.87274169921875,0.00579833984375,0.0,0.8359375,0.87274169921875,-0.06060791015625,0.999969482421875,0.181610107421875
VM7,1280,1,-0.74420166015625,0.1378173828125,0.501922607421875,0.9422607421875,0.60418701171875,0.009490966796875,0.30859375,-0.681884765625,0.00579833984375,0.91876220703125,-0.7130126953125,-0.6817626953125,-0.31060791015625,-0.985015869140625,0.251922607421875
VM8,768,1,-0.99420166015625,-0.13818359375,0.5,0.667999267578125,0.60418701171875,0.009521484375,-0.48046875,-0.61273193359375,0.05267333984375,0.92449951171875,-0.6895751953125,-0.612762451171875,-0.53717041015625,-0.985015869140625,0.376922607421875
VM9,1280,1,-1.0,-0.8828125,0.005767822265625,-0.52655029296875,0.60418701171875,0.009552001953125,-0.14453125,-0.84820556640625,0.005767822265625,-0.52655029296875,-0.994232177734375,0.80078125,0.681549072265625,-0.199737548828125,0.064361572265625
VMCOMMA,7740,1,0.0,0.0,0.255767822265625,0.6495361328125,0.60418701171875,0.619232177734375,0.603912353515625,0.009796142578125,0.92578125,-0.830230712890625,0.005767822265625,-0.52655029296875,0.380767822265625,0.766815185546875,-0.529388427734375
VMSEMI,16159,1,-0.25,-0.52545166015625,0.40234375,0.4700927734375,0.60418701171875,0.541595458984375,0.572662353515625,-0.999969482421875,0.314361572265625,-0.52166748046875,0.638214111328125,-0.546417236328125,-0.909423828125,0.480743408203125,-0.2027587890625
VMCOLN,16263,1,9.1552734375e-05,-0.5230712890625,0.828125,0.49493408203125,0.60418701171875,0.619232177734375,0.6116943359375,-0.999969482421875,0.5540771484375,-0.522796630859375,0.0751953125,0.49493408203125,0.09375,0.4822998046875,0.417144775390625
VMAPOST,-31172,1,-0.86920166015625,0.0,0.501922607421875,0.688201904296875,0.60418701171875,0.626983642578125,0.650848388671875,0.0103759765625,0.96484375,0.282196044921875,-0.86920166015625,0.688201904296875,-0.498077392578125,0.085479736328125,0.72845458984375
VMQUOTE,-31172,1,-0.87310791015625,0.0,0.501922607421875,0.688201904296875,0.60418701171875,0.666534423828125,0.658660888671875,0.009918212890625,-0.49609375,0.085479736328125,-0.86920166015625,0.688201904296875,0.962860107421875,0.282196044921875,0.72845458984375
VMQUOT2,-31897,8,-1.0,-0.838409423828125,0.95703125,0.90478515625,0.60418701171875,0.666534423828125,0.658660888671875,0.00933837890625,0.96484375,-0.491424560546875,0.00579833984375,0.74072265625,-0.994293212890625,-0.401611328125,-0.74810791015625
VM&,768,1,-0.74420166015625,-0.500030517578125,-0.11920166015625,0.114990234375,0.60418701171875,0.00897216796875,-0.49609375,-0.500030517578125,-0.74420166015625,-0.22998046875,0.50189208984375,-0.5,-0.12310791015625,0.114990234375,0.033172607421875
VM-,1280,1,-0.580169677734375,-0.00054931640625,0.9627685546875,0.614654541015625,0.60418701171875,0.009185791015625,0.74609375,0.801666259765625,-0.009857177734375,0.713958740234375,0.74749755859375,0.801666259765625,-0.099700927734375,-0.19610595703125,0.048736572265625
VMPERID,-32768,1,0.0,-1.0,0.015625,0.0,0.60418701171875,0.54150390625,0.57281494140625,0.0098876953125,0.00390625,-1.0,0.00579833984375,0.0,0.0,-1.0,0.00189208984375
VME,1280,1,-0.921875,-0.647857666015625,0.005767822265625,0.9200439453125,0.60418701171875,0.009918212890625,-0.56640625,-0.93133544921875,0.50579833984375,0.9200439453125,-0.1114501953125,-0.92950439453125,-0.92779541015625,-0.985015869140625,0.220672607421875
VM0,0,2,-0.8251953125,-0.875,0.48284912109375,0.70281982421875,0.60418701171875,-0.51416015625,-0.78125,0.4786376953125,0.70281982421875,-0.512664794921875,-0.7109375,0.48284912109375,0.0,0.0,3.0517578125e-05
VM0,0,4,-0.8251953125,-0.71044921875,0.662109375,0.9427490234375,0.60418701171875,-0.51416015625,-0.57568359375,0.495697021484375,0.9427490234375,-0.516510009765625,-0.71044921875,0.496002197265625,0.0,0.0,3.0517578125e-05
VMO,-256,1,0.0,0.0,0.77691650390625,0.7923583984375,0.60418701171875,0.010223388671875,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
